recipe_name,ingredients,dietary_restrictions,time_to_prepare,pregnant_women_safe,newborn_safe
Spaghetti Aglio e Olio,"spaghetti, garlic, olive oil, chili flakes, parsley",vegetarian,20 minutes,Yes,No
Chicken Salad,"chicken, lettuce, tomato, cucumber, olive oil","non-veg, gluten-free",15 minutes,No,No
Vegetarian Stir Fry,"broccoli, bell pepper, carrot, soy sauce",vegetarian,25 minutes,Yes,Yes
Mango Smoothie,"mango, yogurt, milk, honey",vegetarian,10 minutes,Yes,Yes
Quinoa Salad,"quinoa, cucumber, tomato, feta cheese",vegetarian,15 minutes,Yes,Yes
Lentil Soup,"lentils, carrots, celery, onion",vegan,30 minutes,Yes,Yes
Pasta Primavera,"pasta, bell pepper, zucchini, olive oil",vegetarian,20 minutes,Yes,Yes
Grilled Chicken Tacos,"chicken, taco shells, lettuce, salsa","non-veg",15 minutes,No,No
Vegetable Curry,"mixed vegetables, coconut milk, curry powder",vegan,35 minutes,Yes,Yes
Oatmeal Cookies,"oats, flour, brown sugar, butter",vegetarian,25 minutes,Yes,Yes
Beef Stir Fry,"beef, broccoli, soy sauce, garlic","non-veg",30 minutes,No,No
Caprese Salad,"mozzarella, tomatoes, basil, olive oil",vegetarian,15 minutes,Yes,Yes
Chickpea Salad,"chickpeas, cucumber, tomatoes, lemon",vegan,20 minutes,Yes,Yes
Pancakes,"flour, eggs, milk, syrup",vegetarian,15 minutes,Yes,Yes
Tomato Basil Soup,"tomatoes, basil, garlic, cream",vegetarian,30 minutes,Yes,Yes
Shrimp Fried Rice,"shrimp, rice, peas, soy sauce","non-veg",20 minutes,No,No
Fruit Salad,"mixed fruits, honey, mint",vegan,10 minutes,Yes,Yes
Vegetable Quesadilla,"tortillas, cheese, mixed vegetables",vegetarian,20 minutes,Yes,Yes
Coconut Rice,"rice, coconut milk, salt",vegan,25 minutes,Yes,Yes
Zucchini Bread,"zucchini, flour, sugar, eggs",vegetarian,50 minutes,Yes,Yes
Mushroom Risotto,"rice, mushrooms, broth, parmesan",vegetarian,40 minutes,Yes,Yes
Baked Salmon,"salmon, lemon, dill, garlic","non-veg",25 minutes,Yes,No
Falafel Wrap,"falafel, pita, lettuce, tahini",vegan,15 minutes,Yes,Yes
Stuffed Peppers,"bell peppers, rice, beans, cheese",vegetarian,40 minutes,Yes,Yes
Cauliflower Tacos,"cauliflower, tortillas, avocado",vegan,30 minutes,Yes,Yes
Pesto Pasta,"pasta, pesto, pine nuts, parmesan",vegetarian,20 minutes,Yes,Yes
<<<<<<< HEAD
Eggplant Parmesan,"eggplant, marinara, m    ozzarella",vegetarian,60 minutes,Yes,Yes
=======
Eggplant Parmesan,"eggplant, marinara, mozzarella",vegetarian,60 minutes,Yes,Yes
>>>>>>> 6799016a1c901e691f8ce7f0aeef2f65855d664b
Butternut Squash Soup,"butternut squash, onion, cream",vegetarian,40 minutes,Yes,Yes
Grilled Cheese Sandwich,"bread, cheese, butter",vegetarian,10 minutes,Yes,Yes
BBQ Chicken Pizza,"pizza dough, chicken, BBQ sauce, cheese","non-veg",25 minutes,Yes,No
Sweet Potato Fries,"sweet potatoes, olive oil, salt",vegan,30 minutes,Yes,Yes
Chili,"beans, tomatoes, ground beef, spices","non-veg",45 minutes,No,No
Baked Ziti,"ziti, marinara, mozzarella",vegetarian,35 minutes,Yes,Yes
Greek Salad,"lettuce, tomatoes, olives, feta",vegetarian,15 minutes,Yes,Yes
Rice and Beans,"rice, black beans, spices",vegan,25 minutes,Yes,Yes
Peanut Butter Banana Smoothie,"banana, peanut butter, milk",vegetarian,5 minutes,Yes,Yes
Hummus and Veggies,"hummus, carrots, cucumber, bell pepper",vegan,10 minutes,Yes,Yes
Chicken Noodle Soup,"chicken, noodles, carrots, celery","non-veg",30 minutes,No,No
Beef Tacos,"ground beef, taco shells, lettuce","non-veg",15 minutes,No,No
Mushroom Soup,"mushrooms, cream, broth",vegetarian,30 minutes,Yes,Yes
Roasted Brussels Sprouts,"brussels sprouts, olive oil, salt",vegan,25 minutes,Yes,Yes
Quiche,"eggs, cheese, spinach, pie crust",vegetarian,45 minutes,Yes,Yes
Cabbage Stir Fry,"cabbage, carrots, soy sauce",vegan,20 minutes,Yes,Yes
Roasted Chickpeas,"chickpeas, olive oil, spices",vegan,30 minutes,Yes,Yes
Pasta Salad,"pasta, vegetables, dressing",vegetarian,20 minutes,Yes,Yes
